CUSTOMER_ID,X1,X2,X3,X4,Y
1,A,2,,-0.475638901,0
2,A,4,,-1.71620067,0
3,A,4,,-1.71620067,0
4,A,5,,0.163438374,0
5,A,2,,-1.001937833,0
6,A,2,,0.576958964,0
7,A,1,,-2.468056288,0
8,A,1,,-2.468056288,0
9,A,1,,-2.468056288,0
10,A,1,,-2.468056288,0
11,B,1,,-2.468056288,0
12,A,1,,-2.468056288,0
13,A,1,,-2.468056288,0
14,A,1,,-2.468056288,0
15,B,1,,-2.468056288,0
16,A,1,,-2.468056288,0
17,A,1,,-2.468056288,0
18,A,1,,-2.468056288,1
19,B,1,,-2.468056288,0
20,A,1,,-2.468056288,0
21,A,1,,-2.468056288,0
22,A,1,,-2.468056288,0
23,B,1,,-2.468056288,0
24,A,1,,-2.468056288,0
25,B,1,,-2.468056288,0
26,A,1,,-2.468056288,1
27,A,1,,-2.468056288,0
28,A,1,,-2.468056288,0
29,A,1,,-2.468056288,0
30,A,1,,-2.468056288,0
31,A,1,,-2.468056288,0
32,A,1,,-2.468056288,0
33,A,1,,-2.468056288,0
34,A,1,,-2.468056288,0
35,A,1,,-2.468056288,0
36,A,1,,-2.468056288,0
37,A,1,,-2.468056288,0
38,B,1,,-2.468056288,0
39,A,1,,-2.468056288,0
40,A,2,,-1.71620067,0
41,A,2,,-1.71620067,0
42,A,2,,-1.71620067,0
43,B,2,,-1.71620067,0
44,A,2,,-1.71620067,0
45,A,2,,-1.71620067,0
46,B,2,,-1.71620067,0
47,A,2,,-1.71620067,0
48,A,2,,-1.71620067,0
49,A,2,,-1.71620067,0
50,A,2,,-1.71620067,0
51,A,2,,-1.71620067,0
52,B,2,,-1.71620067,0
53,A,2,,-1.71620067,0
54,A,2,,-1.71620067,0
55,A,2,,-1.71620067,0
56,A,2,,-1.71620067,0
57,B,2,,-1.71620067,0
58,B,2,,-1.71620067,0
59,A,2,,-1.71620067,0
60,A,2,,-1.71620067,0
61,A,2,,0.125845593,0
62,A,4,,-0.550824463,0
63,A,4,,-0.550824463,0
64,A,4,,-0.550824463,0
65,A,4,,-0.550824463,0
66,B,4,,-0.099711092,1
67,B,4,,-0.099711092,1
68,B,4,,-0.099711092,1
69,A,4,,-0.099711092,1
70,A,4,,-0.099711092,0
71,A,4,,-0.099711092,0
72,A,4,,-0.099711092,0
73,A,3,,-1.340272861,0
74,A,5,,0.050660032,0
75,A,5,,0.050660032,0
76,A,5,,0.050660032,0
77,A,3,,-0.738788367,0
78,A,3,,-0.738788367,0
79,B,2,,-0.588417244,0
80,B,2,,-0.588417244,0
81,B,2,,-0.588417244,0
82,B,2,,-0.588417244,0
83,A,1,,0.163438374,0
84,B,1,,0.163438374,0
85,B,1,,0.163438374,0
86,A,1,,0.163438374,0
